timestamp,ip,method,url,path,protocol,request_body,response_status,blocked,latency_ms,type
2025-12-08T09:31:34.784372,127.0.0.1,POST,http://localhost:2323/WebGoat/comment,/WebGoat/comment,HTTP/1.1,"{""text"": ""Difficult move chair movie none others."", ""user_id"": ""515""}",403,True,3709.07,Comment
2025-12-08T09:31:35.279804,127.0.0.1,POST,http://localhost:2323/WebGoat/login,/WebGoat/login,HTTP/1.1,"{""username"": ""hurstgary"", ""password"": ""*3BR5pjd_mc&""}",403,True,4.43,Login Attempt
2025-12-08T09:31:35.471082,127.0.0.1,POST,http://localhost:2323/WebGoat/login,/WebGoat/login,HTTP/1.1,"{""username"": ""tgarner"", ""password"": ""^90AbN(2*5uJ""}",403,True,17.29,Login Attempt
2025-12-08T09:31:37.573556,127.0.0.1,GET,http://localhost:2323/WebGoat/search,/WebGoat/search,HTTP/1.1,"{""q"": ""table""}",403,True,1861.09,Search
2025-12-08T09:31:37.897091,127.0.0.1,POST,http://localhost:2323/WebGoat/register.mvc,/WebGoat/register.mvc,HTTP/1.1,"{""username"": ""malik05"", ""password"": ""%l0REs$e$r"", ""confirmParam"": ""on"", ""email"": ""simmonshannah@example.com""}",403,True,3.08,Registration
2025-12-08T09:31:38.127802,127.0.0.1,POST,http://localhost:2323/WebGoat/login,/WebGoat/login,HTTP/1.1,"{""username"": ""mary05"", ""password"": ""$Kw4q4$f$kFl""}",403,True,4.31,Login Attempt
2025-12-08T09:31:38.598317,127.0.0.1,POST,http://localhost:2323/WebGoat/login,/WebGoat/login,HTTP/1.1,"{""username"": ""welchemily"", ""password"": ""%6d5X*QpQhMZ""}",403,True,5.65,Login Attempt
2025-12-08T09:31:39.063061,127.0.0.1,POST,http://localhost:2323/WebGoat/register.mvc,/WebGoat/register.mvc,HTTP/1.1,"{""username"": ""leondavid"", ""password"": ""!)V0xsIS$h"", ""confirmParam"": ""on"", ""email"": ""fernando36@example.org""}",403,True,17.5,Registration
2025-12-08T09:31:39.411974,127.0.0.1,POST,http://localhost:2323/WebGoat/register.mvc,/WebGoat/register.mvc,HTTP/1.1,"{""username"": ""jamie04"", ""password"": ""$C5!M_h(IS"", ""confirmParam"": ""on"", ""email"": ""fjones@example.net""}",403,True,5.26,Registration
2025-12-08T09:31:41.660239,127.0.0.1,GET,http://localhost:2323/WebGoat/search,/WebGoat/search,HTTP/1.1,"{""q"": ""Port John""}",403,True,1848.3,Search
2025-12-08T09:31:42.133735,127.0.0.1,GET,http://localhost:2323/WebGoat/login,/WebGoat/login,HTTP/1.1,"""""",403,True,4.32,Page Load
2025-12-08T09:31:44.460930,127.0.0.1,GET,http://localhost:2323/WebGoat/search,/WebGoat/search,HTTP/1.1,"{""q"": ""East Ricardofurt""}",403,True,1906.76,Search
2025-12-08T09:31:46.734155,127.0.0.1,GET,http://localhost:2323/WebGoat/search,/WebGoat/search,HTTP/1.1,"{""q"": ""lawyer""}",403,True,1986.69,Search
2025-12-08T09:31:47.141609,127.0.0.1,POST,http://localhost:2323/WebGoat/register.mvc,/WebGoat/register.mvc,HTTP/1.1,"{""username"": ""powelltimothy"", ""password"": ""+L5pO2yd2@"", ""confirmParam"": ""on"", ""email"": ""stephensstephanie@example.net""}",403,True,4.68,Registration
2025-12-08T09:31:47.270277,127.0.0.1,GET,http://localhost:2323/WebGoat/welcome.mvc,/WebGoat/welcome.mvc,HTTP/1.1,"""""",403,True,15.86,Page Load
2025-12-08T09:31:49.392600,127.0.0.1,POST,http://localhost:2323/WebGoat/comment,/WebGoat/comment,HTTP/1.1,"{""text"": ""Place professor throw claim open shoulder down."", ""user_id"": ""476""}",403,True,1882.19,Comment
2025-12-08T09:31:51.395217,127.0.0.1,POST,http://localhost:2323/WebGoat/comment,/WebGoat/comment,HTTP/1.1,"{""text"": ""Wall reason share trial notice recently."", ""user_id"": ""59""}",403,True,1885.9,Comment
2025-12-08T09:31:51.854420,127.0.0.1,POST,http://localhost:2323/WebGoat/login,/WebGoat/login,HTTP/1.1,"{""username"": ""cunninghamshawn"", ""password"": ""#3R*Z_*VwIQw""}",403,True,3.88,Login Attempt
2025-12-08T09:31:52.348161,127.0.0.1,POST,http://localhost:2323/WebGoat/register.mvc,/WebGoat/register.mvc,HTTP/1.1,"{""username"": ""osalinas"", ""password"": ""hq9DetPO+6"", ""confirmParam"": ""on"", ""email"": ""hayespaul@example.net""}",403,True,16.37,Registration
2025-12-08T09:31:54.118292,127.0.0.1,POST,http://localhost:2323/WebGoat/comment,/WebGoat/comment,HTTP/1.1,"{""text"": ""Manager option hour today catch station."", ""user_id"": ""696""}",403,True,1652.45,Comment
2025-12-08T09:31:55.982557,127.0.0.1,GET,http://localhost:2323/WebGoat/search,/WebGoat/search,HTTP/1.1,"{""q"": ""culture""}",403,True,1727.56,Search
2025-12-08T09:31:56.123926,127.0.0.1,GET,http://localhost:2323/WebGoat/login,/WebGoat/login,HTTP/1.1,"""""",403,True,5.29,Page Load
2025-12-08T09:31:56.578229,127.0.0.1,POST,http://localhost:2323/WebGoat/login,/WebGoat/login,HTTP/1.1,"{""username"": ""williamsyolanda"", ""password"": ""ANKF4Kg$Ou_4""}",403,True,16.75,Login Attempt
2025-12-08T09:31:57.041061,127.0.0.1,POST,http://localhost:2323/WebGoat/register.mvc,/WebGoat/register.mvc,HTTP/1.1,"{""username"": ""ashley11"", ""password"": ""Dx(76HsplZ"", ""confirmParam"": ""on"", ""email"": ""gmiller@example.org""}",403,True,17.75,Registration
2025-12-08T09:31:59.355859,127.0.0.1,POST,http://localhost:2323/WebGoat/comment,/WebGoat/comment,HTTP/1.1,"{""text"": ""Plant early never stay shoulder way."", ""user_id"": ""648""}",403,True,1940.31,Comment
2025-12-08T09:31:59.538395,127.0.0.1,GET,http://localhost:2323/WebGoat/welcome.mvc,/WebGoat/welcome.mvc,HTTP/1.1,"""""",403,True,3.83,Page Load
